CodEntrega,CodVenta,CodProveedor,Proveedor,CodAlmacen,Almacen,CodEstado,Estado,Fecha_Envio,Fecha_Entrega
2401,3383,1,Envios Nacionales,1,Centro Norte,2,En tránsito,2020-12-12,2020-12-15
2402,3384,4,QuickSend,3,Centro Oeste,3,Entregado,2020-12-12,2020-12-14
2403,3385,2,Flash Delivery,2,Hub Logístico,3,Entregado,2020-12-14,2020-12-17
2404,3386,2,Logística Express,1,Centro Norte,3,Entregado,2020-12-13,2020-12-17
2405,3387,1,QuickSend,3,Centro Oeste,2,En tránsito,2020-12-12,2020-12-16
2406,3388,4,Envios Nacionales,1,Centro Norte,1,En preparación,2020-12-13,2020-12-16
2407,3389,2,QuickSend,2,Hub Logístico,2,En tránsito,2020-12-13,2020-12-17
2408,3390,1,Flash Delivery,3,Centro Oeste,3,Entregado,2020-12-14,2020-12-16
2409,3391,4,QuickSend,1,Centro Norte,3,Entregado,2020-12-12,2020-12-15
2410,3393,3,Flash Delivery,2,Hub Logístico,3,Entregado,2020-12-12,2020-12-13
2411,3394,2,QuickSend,1,Centro Norte,3,Entregado,2020-12-13,2020-12-18
2412,3397,1,QuickSend,3,Centro Oeste,1,En preparación,2020-12-13,2020-12-14
2413,3399,1,Envios Nacionales,1,Centro Norte,4,Devuelto,2020-12-13,2020-12-16
2414,3403,4,Logística Express,3,Centro Oeste,4,Devuelto,2020-12-13,2020-12-14
2415,3404,2,Logística Express,4,Depósito Sur,4,Devuelto,2020-12-13,2020-12-15
2416,3405,1,Logística Express,1,Centro Norte,2,En tránsito,2020-12-15,2020-12-17
2417,3407,3,QuickSend,2,Hub Logístico,2,En tránsito,2020-12-15,2020-12-19
2418,3409,1,QuickSend,4,Depósito Sur,4,Devuelto,2020-12-15,2020-12-18
2419,3411,3,QuickSend,4,Depósito Sur,4,Devuelto,2020-12-14,2020-12-17
2420,3412,2,Envios Nacionales,1,Centro Norte,1,En preparación,2020-12-15,2020-12-18
2421,3413,1,QuickSend,2,Hub Logístico,1,En preparación,2020-12-14,2020-12-15
2422,3414,3,QuickSend,2,Hub Logístico,4,Devuelto,2020-12-14,2020-12-16
2423,3416,3,Envios Nacionales,2,Hub Logístico,4,Devuelto,2020-12-14,2020-12-15
2424,3417,4,Flash Delivery,1,Centro Norte,4,Devuelto,2020-12-16,2020-12-17
2425,3419,3,Envios Nacionales,2,Hub Logístico,2,En tránsito,2020-12-15,2020-12-19
2426,3421,3,Flash Delivery,1,Centro Norte,4,Devuelto,2020-12-14,2020-12-17
2427,3422,1,Flash Delivery,2,Hub Logístico,2,En tránsito,2020-12-15,2020-12-18
2428,3424,2,Envios Nacionales,1,Centro Norte,4,Devuelto,2020-12-15,2020-12-18
2429,3425,4,QuickSend,1,Centro Norte,1,En preparación,2020-12-17,2020-12-18
2430,3426,3,QuickSend,1,Centro Norte,3,Entregado,2020-12-15,2020-12-19
2431,3427,4,Flash Delivery,3,Centro Oeste,3,Entregado,2020-12-16,2020-12-17
2432,3428,3,QuickSend,4,Depósito Sur,3,Entregado,2020-12-16,2020-12-19
2433,3429,3,Logística Express,2,Hub Logístico,2,En tránsito,2020-12-15,2020-12-20
2434,3431,3,Flash Delivery,3,Centro Oeste,4,Devuelto,2020-12-16,2020-12-17
2435,3433,4,Envios Nacionales,3,Centro Oeste,3,Entregado,2020-12-17,2020-12-22
2436,3435,3,Flash Delivery,2,Hub Logístico,3,Entregado,2020-12-17,2020-12-19
2437,3436,2,Envios Nacionales,3,Centro Oeste,2,En tránsito,2020-12-18,2020-12-20
2438,3437,3,Logística Express,3,Centro Oeste,4,Devuelto,2020-12-18,2020-12-19
2439,3438,3,Logística Express,3,Centro Oeste,2,En tránsito,2020-12-19,2020-12-22
2440,3439,3,Flash Delivery,1,Centro Norte,3,Entregado,2020-12-18,2020-12-22
2441,3441,3,Envios Nacionales,2,Hub Logístico,3,Entregado,2020-12-17,2020-12-19
2442,3442,2,Envios Nacionales,1,Centro Norte,1,En preparación,2020-12-17,2020-12-18
2443,3444,2,QuickSend,4,Depósito Sur,3,Entregado,2020-12-18,2020-12-22
2444,3445,4,Logística Express,1,Centro Norte,3,Entregado,2020-12-19,2020-12-21
2445,3446,4,Envios Nacionales,4,Depósito Sur,4,Devuelto,2020-12-20,2020-12-25
2446,3447,2,Flash Delivery,3,Centro Oeste,4,Devuelto,2020-12-19,2020-12-24
2447,3448,2,QuickSend,1,Centro Norte,2,En tránsito,2020-12-20,2020-12-21
2448,3449,1,Flash Delivery,4,Depósito Sur,4,Devuelto,2020-12-19,2020-12-21
2449,3450,2,QuickSend,4,Depósito Sur,1,En preparación,2020-12-20,2020-12-23
2450,3451,4,Flash Delivery,3,Centro Oeste,3,Entregado,2020-12-19,2020-12-21
2451,3452,4,QuickSend,2,Hub Logístico,1,En preparación,2020-12-21,2020-12-26
2452,3453,3,Logística Express,4,Depósito Sur,3,Entregado,2020-12-20,2020-12-22
2453,3454,4,QuickSend,3,Centro Oeste,4,Devuelto,2020-12-19,2020-12-23
2454,3455,4,Flash Delivery,2,Hub Logístico,1,En preparación,2020-12-21,2020-12-25
2455,3456,3,Flash Delivery,1,Centro Norte,1,En preparación,2020-12-19,2020-12-22
2456,3461,4,QuickSend,1,Centro Norte,3,Entregado,2020-12-21,2020-12-22
2457,3462,1,Logística Express,1,Centro Norte,1,En preparación,2020-12-21,2020-12-22
2458,3463,1,QuickSend,4,Depósito Sur,4,Devuelto,2020-12-21,2020-12-22
2459,3464,1,Envios Nacionales,1,Centro Norte,2,En tránsito,2020-12-20,2020-12-25
2460,3465,2,Logística Express,1,Centro Norte,4,Devuelto,2020-12-20,2020-12-25
2461,3466,4,Flash Delivery,3,Centro Oeste,4,Devuelto,2020-12-22,2020-12-24
2462,3469,2,Flash Delivery,1,Centro Norte,2,En tránsito,2020-12-22,2020-12-23
2463,3473,2,Logística Express,1,Centro Norte,3,Entregado,2020-12-21,2020-12-23
2464,3474,3,Logística Express,4,Depósito Sur,4,Devuelto,2020-12-22,2020-12-24
2465,3475,1,Flash Delivery,3,Centro Oeste,4,Devuelto,2020-12-22,2020-12-23
2466,3476,1,Envios Nacionales,2,Hub Logístico,4,Devuelto,2020-12-21,2020-12-24
2467,3477,2,Logística Express,3,Centro Oeste,1,En preparación,2020-12-23,2020-12-26
2468,3478,1,Flash Delivery,1,Centro Norte,3,Entregado,2020-12-22,2020-12-26
2469,3479,1,Logística Express,3,Centro Oeste,4,Devuelto,2020-12-22,2020-12-23
2470,3480,4,QuickSend,3,Centro Oeste,4,Devuelto,2020-12-22,2020-12-24
2471,3482,1,QuickSend,2,Hub Logístico,1,En preparación,2020-12-22,2020-12-23
2472,3483,2,Flash Delivery,2,Hub Logístico,4,Devuelto,2020-12-23,2020-12-26
2473,3484,4,Flash Delivery,1,Centro Norte,4,Devuelto,2020-12-23,2020-12-24
2474,3485,3,Envios Nacionales,1,Centro Norte,4,Devuelto,2020-12-24,2020-12-25
2475,3486,3,Envios Nacionales,4,Depósito Sur,1,En preparación,2020-12-24,2020-12-26
2476,3487,2,Flash Delivery,3,Centro Oeste,3,Entregado,2020-12-22,2020-12-25
2477,3488,4,Envios Nacionales,3,Centro Oeste,2,En tránsito,2020-12-22,2020-12-27
2478,3489,3,Flash Delivery,3,Centro Oeste,2,En tránsito,2020-12-23,2020-12-25
2479,3490,2,QuickSend,4,Depósito Sur,1,En preparación,2020-12-24,2020-12-28
2480,3491,2,Envios Nacionales,1,Centro Norte,2,En tránsito,2020-12-23,2020-12-24
2481,3493,1,QuickSend,2,Hub Logístico,4,Devuelto,2020-12-24,2020-12-25
2482,3494,4,Logística Express,2,Hub Logístico,4,Devuelto,2020-12-22,2020-12-26
2483,3495,2,Logística Express,3,Centro Oeste,4,Devuelto,2020-12-24,2020-12-27
2484,3496,1,Flash Delivery,3,Centro Oeste,2,En tránsito,2020-12-23,2020-12-24
2485,3497,2,QuickSend,2,Hub Logístico,2,En tránsito,2020-12-22,2020-12-25
2486,3500,4,Logística Express,1,Centro Norte,2,En tránsito,2020-12-24,2020-12-25
2487,3501,4,QuickSend,3,Centro Oeste,4,Devuelto,2020-12-24,2020-12-25
2488,3503,3,Envios Nacionales,2,Hub Logístico,3,Entregado,2020-12-25,2020-12-27
2489,3506,4,Logística Express,2,Hub Logístico,3,Entregado,2020-12-24,2020-12-27
2490,3507,2,Logística Express,3,Centro Oeste,4,Devuelto,2020-12-26,2020-12-28
2491,3508,3,Envios Nacionales,4,Depósito Sur,4,Devuelto,2020-12-24,2020-12-26
2492,3509,1,Flash Delivery,3,Centro Oeste,2,En tránsito,2020-12-24,2020-12-25
2493,3512,1,Logística Express,4,Depósito Sur,2,En tránsito,2020-12-24,2020-12-27
2494,3513,2,Envios Nacionales,2,Hub Logístico,1,En preparación,2020-12-24,2020-12-26
2495,3514,3,Envios Nacionales,1,Centro Norte,2,En tránsito,2020-12-25,2020-12-29
2496,3516,1,Logística Express,2,Hub Logístico,3,Entregado,2020-12-24,2020-12-27
2497,3520,3,Logística Express,2,Hub Logístico,3,Entregado,2020-12-25,2020-12-30
2498,3522,2,Envios Nacionales,3,Centro Oeste,1,En preparación,2020-12-25,2020-12-30
2499,3523,2,QuickSend,4,Depósito Sur,1,En preparación,2020-12-26,2020-12-28
2500,3524,2,Logística Express,2,Hub Logístico,4,Devuelto,2020-12-27,2020-12-30
2501,3527,4,Flash Delivery,1,Centro Norte,3,Entregado,2020-12-26,2020-12-27
2502,3528,2,Flash Delivery,2,Hub Logístico,3,Entregado,2020-12-26,2020-12-28
2503,3529,1,Envios Nacionales,4,Depósito Sur,3,Entregado,2020-12-27,2020-12-31
2504,3537,2,Envios Nacionales,2,Hub Logístico,3,Entregado,2020-12-29,2020-12-30
2505,3539,3,QuickSend,2,Hub Logístico,2,En tránsito,2020-12-29,2020-12-31
2506,3540,1,Flash Delivery,3,Centro Oeste,4,Devuelto,2020-12-27,2021-01-01
2507,3541,3,Envios Nacionales,2,Hub Logístico,4,Devuelto,2020-12-27,2020-12-31
2508,3542,1,QuickSend,4,Depósito Sur,4,Devuelto,2020-12-28,2021-01-01
2509,3543,4,Flash Delivery,4,Depósito Sur,3,Entregado,2020-12-28,2021-01-02
2510,3544,3,Logística Express,1,Centro Norte,4,Devuelto,2020-12-28,2020-12-30
2511,3545,2,Envios Nacionales,1,Centro Norte,2,En tránsito,2020-12-27,2020-12-29
2512,3546,2,QuickSend,1,Centro Norte,3,Entregado,2020-12-30,2021-01-03
2513,3547,1,QuickSend,1,Centro Norte,4,Devuelto,2020-12-30,2021-01-01
2514,3549,2,Flash Delivery,3,Centro Oeste,4,Devuelto,2020-12-28,2020-12-31
2515,3550,2,Flash Delivery,2,Hub Logístico,4,Devuelto,2020-12-30,2020-12-31
2516,3551,2,Flash Delivery,1,Centro Norte,3,Entregado,2020-12-30,2021-01-03
2517,3552,2,Flash Delivery,1,Centro Norte,3,Entregado,2020-12-30,2021-01-04
2518,3554,3,Logística Express,2,Hub Logístico,3,Entregado,2020-12-29,2021-01-03
2519,3555,3,Logística Express,2,Hub Logístico,1,En preparación,2020-12-29,2021-01-02
2520,3556,2,Logística Express,1,Centro Norte,4,Devuelto,2020-12-29,2020-12-31
2521,3557,4,Logística Express,1,Centro Norte,4,Devuelto,2020-12-29,2020-12-30
2522,3558,1,Flash Delivery,2,Hub Logístico,3,Entregado,2020-12-30,2021-01-02
2523,3560,2,QuickSend,1,Centro Norte,3,Entregado,2020-12-31,2021-01-03
2524,3562,3,Envios Nacionales,4,Depósito Sur,3,Entregado,2020-12-31,2021-01-03
2525,3563,4,Logística Express,4,Depósito Sur,3,Entregado,2020-12-30,2020-12-31
2526,3564,2,Logística Express,2,Hub Logístico,4,Devuelto,2021-01-01,2021-01-04
2527,3565,2,Logística Express,2,Hub Logístico,2,En tránsito,2020-12-31,2021-01-04
2528,3566,4,Envios Nacionales,1,Centro Norte,1,En preparación,2020-12-30,2021-01-01
2529,3569,1,QuickSend,3,Centro Oeste,3,Entregado,2020-12-31,2021-01-03
2530,3570,3,Logística Express,2,Hub Logístico,1,En preparación,2020-12-31,2021-01-01
2531,3571,3,Flash Delivery,3,Centro Oeste,2,En tránsito,2021-01-01,2021-01-03
2532,3573,4,Logística Express,4,Depósito Sur,3,Entregado,2021-01-02,2021-01-04
2533,3574,4,Flash Delivery,3,Centro Oeste,1,En preparación,2021-01-02,2021-01-03
2534,3575,3,QuickSend,4,Depósito Sur,3,Entregado,2020-12-31,2021-01-03
2535,3576,3,Envios Nacionales,4,Depósito Sur,1,En preparación,2020-12-31,2021-01-03
2536,3577,2,QuickSend,2,Hub Logístico,3,Entregado,2021-01-01,2021-01-06
2537,3578,3,Flash Delivery,3,Centro Oeste,2,En tránsito,2021-01-01,2021-01-03
2538,3579,3,Envios Nacionales,3,Centro Oeste,4,Devuelto,2021-01-01,2021-01-03
2539,3580,2,Flash Delivery,3,Centro Oeste,2,En tránsito,2021-01-02,2021-01-04
2540,3582,4,Flash Delivery,1,Centro Norte,3,Entregado,2021-01-02,2021-01-03
2541,3583,2,Flash Delivery,2,Hub Logístico,3,Entregado,2021-01-02,2021-01-06
2542,3584,3,Flash Delivery,3,Centro Oeste,1,En preparación,2021-01-02,2021-01-07
2543,3587,2,Logística Express,3,Centro Oeste,2,En tránsito,2021-01-02,2021-01-03
2544,3588,3,QuickSend,2,Hub Logístico,3,Entregado,2021-01-02,2021-01-07
2545,3589,3,Envios Nacionales,4,Depósito Sur,2,En tránsito,2021-01-01,2021-01-06
2546,3590,3,Envios Nacionales,4,Depósito Sur,1,En preparación,2021-01-04,2021-01-08
2547,3592,1,Flash Delivery,2,Hub Logístico,1,En preparación,2021-01-02,2021-01-05
2548,3594,2,Flash Delivery,1,Centro Norte,4,Devuelto,2021-01-03,2021-01-08
2549,3596,4,QuickSend,2,Hub Logístico,3,Entregado,2021-01-02,2021-01-04
2550,3598,3,Logística Express,3,Centro Oeste,3,Entregado,2021-01-04,2021-01-06
2551,3600,2,Envios Nacionales,1,Centro Norte,1,En preparación,2021-01-04,2021-01-05
2552,3601,3,Flash Delivery,3,Centro Oeste,4,Devuelto,2021-01-03,2021-01-05
2553,3602,2,Envios Nacionales,1,Centro Norte,1,En preparación,2021-01-03,2021-01-07
2554,3604,1,Flash Delivery,2,Hub Logístico,2,En tránsito,2021-01-03,2021-01-04
2555,3605,2,QuickSend,1,Centro Norte,3,Entregado,2021-01-05,2021-01-08
2556,3606,4,QuickSend,2,Hub Logístico,2,En tránsito,2021-01-05,2021-01-06
2557,3607,1,Logística Express,2,Hub Logístico,4,Devuelto,2021-01-06,2021-01-07
2558,3608,2,QuickSend,1,Centro Norte,2,En tránsito,2021-01-04,2021-01-08
2559,3609,4,Envios Nacionales,1,Centro Norte,1,En preparación,2021-01-05,2021-01-06
2560,3611,1,Envios Nacionales,1,Centro Norte,4,Devuelto,2021-01-06,2021-01-08
2561,3612,4,Flash Delivery,3,Centro Oeste,4,Devuelto,2021-01-04,2021-01-07
2562,3614,4,Envios Nacionales,1,Centro Norte,4,Devuelto,2021-01-05,2021-01-08
2563,3615,3,QuickSend,4,Depósito Sur,4,Devuelto,2021-01-07,2021-01-10
2564,3616,1,QuickSend,1,Centro Norte,2,En tránsito,2021-01-05,2021-01-08
2565,3617,2,Logística Express,4,Depósito Sur,3,Entregado,2021-01-07,2021-01-10
2566,3618,3,QuickSend,2,Hub Logístico,3,Entregado,2021-01-05,2021-01-10
2567,3619,1,Envios Nacionales,1,Centro Norte,4,Devuelto,2021-01-07,2021-01-08
2568,3620,1,Flash Delivery,1,Centro Norte,4,Devuelto,2021-01-07,2021-01-10
2569,3621,2,QuickSend,1,Centro Norte,4,Devuelto,2021-01-06,2021-01-10
2570,3622,2,QuickSend,4,Depósito Sur,3,Entregado,2021-01-05,2021-01-09
2571,3623,2,QuickSend,1,Centro Norte,3,Entregado,2021-01-06,2021-01-09
2572,3624,2,Flash Delivery,4,Depósito Sur,4,Devuelto,2021-01-07,2021-01-10
2573,3626,2,Flash Delivery,1,Centro Norte,2,En tránsito,2021-01-08,2021-01-09
2574,3627,1,QuickSend,4,Depósito Sur,2,En tránsito,2021-01-08,2021-01-10
2575,3628,4,QuickSend,2,Hub Logístico,1,En preparación,2021-01-06,2021-01-08
2576,3629,3,Logística Express,2,Hub Logístico,4,Devuelto,2021-01-07,2021-01-09
2577,3630,1,Envios Nacionales,3,Centro Oeste,3,Entregado,2021-01-07,2021-01-12
2578,3632,3,Envios Nacionales,2,Hub Logístico,3,Entregado,2021-01-07,2021-01-09
2579,3633,2,Logística Express,3,Centro Oeste,2,En tránsito,2021-01-09,2021-01-12
2580,3634,3,Envios Nacionales,3,Centro Oeste,4,Devuelto,2021-01-08,2021-01-09
2581,3635,3,Envios Nacionales,2,Hub Logístico,3,Entregado,2021-01-08,2021-01-13
2582,3636,3,Logística Express,1,Centro Norte,1,En preparación,2021-01-07,2021-01-08
2583,3637,4,Envios Nacionales,3,Centro Oeste,2,En tránsito,2021-01-10,2021-01-15
2584,3638,1,QuickSend,4,Depósito Sur,4,Devuelto,2021-01-10,2021-01-11
2585,3639,3,QuickSend,1,Centro Norte,4,Devuelto,2021-01-09,2021-01-11
2586,3640,3,Flash Delivery,1,Centro Norte,1,En preparación,2021-01-08,2021-01-10
2587,3642,3,QuickSend,2,Hub Logístico,1,En preparación,2021-01-08,2021-01-13
2588,3643,1,Envios Nacionales,2,Hub Logístico,1,En preparación,2021-01-08,2021-01-12
2589,3645,1,Logística Express,1,Centro Norte,4,Devuelto,2021-01-11,2021-01-16
2590,3647,3,Flash Delivery,1,Centro Norte,2,En tránsito,2021-01-10,2021-01-13
2591,3648,4,QuickSend,2,Hub Logístico,1,En preparación,2021-01-10,2021-01-15
2592,3649,2,QuickSend,1,Centro Norte,4,Devuelto,2021-01-09,2021-01-13
2593,3650,1,QuickSend,2,Hub Logístico,3,Entregado,2021-01-10,2021-01-14
2594,3651,3,Envios Nacionales,4,Depósito Sur,1,En preparación,2021-01-09,2021-01-11
2595,3652,4,QuickSend,1,Centro Norte,1,En preparación,2021-01-09,2021-01-13
2596,3653,4,QuickSend,1,Centro Norte,1,En preparación,2021-01-09,2021-01-14
2597,3654,2,Logística Express,2,Hub Logístico,3,Entregado,2021-01-11,2021-01-14
2598,3655,1,QuickSend,4,Depósito Sur,1,En preparación,2021-01-09,2021-01-11
2599,3658,4,QuickSend,4,Depósito Sur,4,Devuelto,2021-01-09,2021-01-14
2600,3661,3,Logística Express,2,Hub Logístico,3,Entregado,2021-01-11,2021-01-13
2601,3662,2,Flash Delivery,2,Hub Logístico,1,En preparación,2021-01-11,2021-01-14
2602,3663,2,Logística Express,2,Hub Logístico,3,Entregado,2021-01-12,2021-01-15
2603,3664,3,Logística Express,3,Centro Oeste,1,En preparación,2021-01-11,2021-01-14
2604,3666,1,Flash Delivery,1,Centro Norte,1,En preparación,2021-01-12,2021-01-17
2605,3667,1,Envios Nacionales,1,Centro Norte,1,En preparación,2021-01-11,2021-01-13
2606,3668,2,Envios Nacionales,4,Depósito Sur,2,En tránsito,2021-01-13,2021-01-14
2607,3669,1,Flash Delivery,3,Centro Oeste,3,Entregado,2021-01-11,2021-01-13
2608,3671,1,Envios Nacionales,1,Centro Norte,2,En tránsito,2021-01-11,2021-01-16
2609,3674,3,Flash Delivery,4,Depósito Sur,3,Entregado,2021-01-11,2021-01-16
2610,3676,3,Envios Nacionales,4,Depósito Sur,3,Entregado,2021-01-13,2021-01-17
2611,3678,1,Logística Express,3,Centro Oeste,4,Devuelto,2021-01-11,2021-01-13
2612,3679,4,QuickSend,2,Hub Logístico,4,Devuelto,2021-01-13,2021-01-18
2613,3680,1,Flash Delivery,2,Hub Logístico,3,Entregado,2021-01-12,2021-01-17
2614,3682,1,Flash Delivery,1,Centro Norte,2,En tránsito,2021-01-14,2021-01-18
2615,3683,4,QuickSend,1,Centro Norte,3,Entregado,2021-01-14,2021-01-19
2616,3685,3,Envios Nacionales,1,Centro Norte,2,En tránsito,2021-01-14,2021-01-16
2617,3686,2,Envios Nacionales,4,Depósito Sur,2,En tránsito,2021-01-13,2021-01-17
2618,3687,4,Flash Delivery,1,Centro Norte,2,En tránsito,2021-01-12,2021-01-17
2619,3688,4,Logística Express,2,Hub Logístico,3,Entregado,2021-01-12,2021-01-17
2620,3689,1,Logística Express,1,Centro Norte,1,En preparación,2021-01-14,2021-01-17
2621,3691,3,Logística Express,3,Centro Oeste,2,En tránsito,2021-01-13,2021-01-17
2622,3693,1,QuickSend,3,Centro Oeste,1,En preparación,2021-01-14,2021-01-16
2623,3694,3,Envios Nacionales,2,Hub Logístico,4,Devuelto,2021-01-12,2021-01-17
2624,3696,4,QuickSend,2,Hub Logístico,3,Entregado,2021-01-14,2021-01-18
2625,3698,2,QuickSend,2,Hub Logístico,3,Entregado,2021-01-15,2021-01-16
2626,3701,2,Logística Express,3,Centro Oeste,3,Entregado,2021-01-15,2021-01-18
2627,3702,4,QuickSend,2,Hub Logístico,1,En preparación,2021-01-15,2021-01-20
2628,3704,2,Envios Nacionales,4,Depósito Sur,3,Entregado,2021-01-13,2021-01-16
2629,3707,1,Logística Express,3,Centro Oeste,3,Entregado,2021-01-16,2021-01-19
2630,3709,3,QuickSend,3,Centro Oeste,2,En tránsito,2021-01-16,2021-01-21
2631,3710,3,Envios Nacionales,1,Centro Norte,1,En preparación,2021-01-16,2021-01-18
2632,3713,1,Logística Express,3,Centro Oeste,4,Devuelto,2021-01-17,2021-01-22
2633,3714,2,Envios Nacionales,1,Centro Norte,4,Devuelto,2021-01-17,2021-01-21
2634,3716,3,Logística Express,4,Depósito Sur,4,Devuelto,2021-01-16,2021-01-21
2635,3717,4,QuickSend,2,Hub Logístico,3,Entregado,2021-01-15,2021-01-17
2636,3718,4,Envios Nacionales,1,Centro Norte,3,Entregado,2021-01-17,2021-01-20
2637,3719,4,QuickSend,4,Depósito Sur,4,Devuelto,2021-01-15,2021-01-20
2638,3722,4,Flash Delivery,4,Depósito Sur,1,En preparación,2021-01-16,2021-01-21
2639,3723,3,Envios Nacionales,4,Depósito Sur,3,Entregado,2021-01-18,2021-01-22
2640,3724,3,Envios Nacionales,4,Depósito Sur,4,Devuelto,2021-01-18,2021-01-23
2641,3725,4,QuickSend,3,Centro Oeste,3,Entregado,2021-01-18,2021-01-19
2642,3726,2,Flash Delivery,3,Centro Oeste,4,Devuelto,2021-01-17,2021-01-19
2643,3727,3,Envios Nacionales,1,Centro Norte,4,Devuelto,2021-01-18,2021-01-20
2644,3728,1,Flash Delivery,1,Centro Norte,4,Devuelto,2021-01-18,2021-01-19
2645,3729,4,QuickSend,1,Centro Norte,1,En preparación,2021-01-17,2021-01-18
2646,3731,2,Envios Nacionales,3,Centro Oeste,1,En preparación,2021-01-17,2021-01-21
2647,3732,2,Flash Delivery,2,Hub Logístico,3,Entregado,2021-01-17,2021-01-22
2648,3734,3,QuickSend,1,Centro Norte,1,En preparación,2021-01-19,2021-01-24
2649,3735,1,Logística Express,3,Centro Oeste,4,Devuelto,2021-01-18,2021-01-19
2650,3736,1,Logística Express,4,Depósito Sur,2,En tránsito,2021-01-17,2021-01-18
2651,3737,1,Envios Nacionales,3,Centro Oeste,3,Entregado,2021-01-19,2021-01-22
2652,3738,1,Envios Nacionales,4,Depósito Sur,3,Entregado,2021-01-17,2021-01-21
2653,3739,1,Logística Express,4,Depósito Sur,4,Devuelto,2021-01-18,2021-01-23
2654,3740,2,QuickSend,1,Centro Norte,3,Entregado,2021-01-19,2021-01-20
2655,3741,2,Envios Nacionales,2,Hub Logístico,2,En tránsito,2021-01-17,2021-01-20
2656,3742,2,Flash Delivery,2,Hub Logístico,3,Entregado,2021-01-17,2021-01-18
2657,3745,4,Flash Delivery,1,Centro Norte,1,En preparación,2021-01-19,2021-01-23
2658,3746,3,Flash Delivery,4,Depósito Sur,1,En preparación,2021-01-18,2021-01-20
2659,3747,3,Flash Delivery,3,Centro Oeste,2,En tránsito,2021-01-18,2021-01-23
2660,3750,3,Logística Express,1,Centro Norte,4,Devuelto,2021-01-18,2021-01-19
2661,3751,3,Flash Delivery,1,Centro Norte,2,En tránsito,2021-01-20,2021-01-21
2662,3753,2,Envios Nacionales,2,Hub Logístico,3,Entregado,2021-01-18,2021-01-20
2663,3754,2,Flash Delivery,2,Hub Logístico,4,Devuelto,2021-01-19,2021-01-23
2664,3755,3,Flash Delivery,4,Depósito Sur,2,En tránsito,2021-01-18,2021-01-21
2665,3756,1,Logística Express,4,Depósito Sur,2,En tránsito,2021-01-18,2021-01-22
2666,3757,3,Flash Delivery,1,Centro Norte,2,En tránsito,2021-01-21,2021-01-26
2667,3758,3,Logística Express,4,Depósito Sur,1,En preparación,2021-01-19,2021-01-20
2668,3759,4,Logística Express,4,Depósito Sur,3,Entregado,2021-01-20,2021-01-21
2669,3760,1,Envios Nacionales,1,Centro Norte,3,Entregado,2021-01-21,2021-01-23
2670,3761,3,Envios Nacionales,4,Depósito Sur,3,Entregado,2021-01-19,2021-01-20
2671,3762,2,Envios Nacionales,2,Hub Logístico,2,En tránsito,2021-01-22,2021-01-26
2672,3763,4,Envios Nacionales,4,Depósito Sur,1,En preparación,2021-01-22,2021-01-26
2673,3764,1,Flash Delivery,4,Depósito Sur,4,Devuelto,2021-01-21,2021-01-22
2674,3765,4,Logística Express,1,Centro Norte,1,En preparación,2021-01-22,2021-01-25
2675,3766,2,Flash Delivery,1,Centro Norte,4,Devuelto,2021-01-22,2021-01-24
2676,3768,3,Envios Nacionales,4,Depósito Sur,2,En tránsito,2021-01-22,2021-01-24
2677,3769,3,QuickSend,2,Hub Logístico,1,En preparación,2021-01-23,2021-01-24
2678,3770,3,QuickSend,2,Hub Logístico,1,En preparación,2021-01-21,2021-01-24
2679,3772,4,Envios Nacionales,4,Depósito Sur,1,En preparación,2021-01-21,2021-01-22
2680,3775,4,Flash Delivery,2,Hub Logístico,1,En preparación,2021-01-21,2021-01-26
2681,3776,3,Flash Delivery,2,Hub Logístico,2,En tránsito,2021-01-22,2021-01-23
2682,3777,1,Flash Delivery,3,Centro Oeste,4,Devuelto,2021-01-23,2021-01-26
2683,3778,2,Logística Express,1,Centro Norte,3,Entregado,2021-01-21,2021-01-23
2684,3779,2,Flash Delivery,4,Depósito Sur,1,En preparación,2021-01-23,2021-01-27
2685,3780,2,Flash Delivery,2,Hub Logístico,3,Entregado,2021-01-23,2021-01-28
2686,3782,3,Logística Express,1,Centro Norte,2,En tránsito,2021-01-23,2021-01-24
2687,3783,3,QuickSend,1,Centro Norte,3,Entregado,2021-01-22,2021-01-27
2688,3785,1,Envios Nacionales,3,Centro Oeste,3,Entregado,2021-01-24,2021-01-29
2689,3786,2,Logística Express,1,Centro Norte,3,Entregado,2021-01-22,2021-01-24
2690,3787,1,QuickSend,1,Centro Norte,4,Devuelto,2021-01-23,2021-01-27
2691,3788,1,QuickSend,2,Hub Logístico,2,En tránsito,2021-01-22,2021-01-26
2692,3790,1,QuickSend,3,Centro Oeste,4,Devuelto,2021-01-25,2021-01-27
2693,3791,2,Logística Express,4,Depósito Sur,2,En tránsito,2021-01-23,2021-01-28
2694,3792,3,Flash Delivery,3,Centro Oeste,4,Devuelto,2021-01-25,2021-01-28
2695,3793,2,Logística Express,2,Hub Logístico,1,En preparación,2021-01-24,2021-01-25
2696,3795,1,Logística Express,4,Depósito Sur,3,Entregado,2021-01-23,2021-01-27
2697,3796,3,Flash Delivery,2,Hub Logístico,1,En preparación,2021-01-23,2021-01-26
2698,3798,3,QuickSend,1,Centro Norte,1,En preparación,2021-01-23,2021-01-26
2699,3799,3,Flash Delivery,4,Depósito Sur,1,En preparación,2021-01-26,2021-01-30
2700,3800,4,QuickSend,4,Depósito Sur,1,En preparación,2021-01-25,2021-01-28
